Time (s),Bx (µT),Bz (µT)
4.289999961853027,3.453047275543213,-27.3702335357666
4.300000190734863,3.8573975563049316,-27.28965187072754
4.309999942779541,4.0217461585998535,-26.43183135986328
4.320000171661377,4.220008373260498,-25.654592514038086
4.329999923706055,4.397400856018066,-25.06971549987793
4.340000152587891,4.073920249938965,-23.86096954345703
4.349999904632568,4.141746997833252,-23.6660099029541
4.360000133514404,4.222617149353027,-22.818588256835938
4.369999885559082,4.340008735656738,-21.908777236938477
4.380000114440918,4.533053874969482,-21.030162811279297
4.389999866485596,4.856534004211426,-19.1767520904541
4.400000095367432,5.4069719314575195,-16.871034622192383
4.409999847412109,5.918279647827148,-14.534124374389648
4.420000076293945,6.267846584320068,-11.69032096862793
4.429999828338623,6.5208916664123535,-8.066679954528809
4.440000057220459,7.248722553253174,-4.037525177001953
4.449999809265137,7.830464839935303,0.06441496312618256
4.460000038146973,8.292206764221191,4.902000904083252
4.46999979019165,8.75916576385498,10.32706356048584
4.480000019073486,9.38786506652832,15.934087753295898
4.489999771118164,10.439176559448242,20.769075393676758
4.5,12.05396842956543,26.165544509887695
4.510000228881836,13.157453536987305,31.101909637451172
4.519999980926514,13.598325729370117,35.12326431274414
4.53000020980835,13.486151695251465,38.20621871948242
4.539999961853027,13.081801414489746,42.235374450683594
4.550000190734863,12.202665328979492,44.169368743896484
4.559999942779541,11.37309455871582,45.51328659057617
4.570000171661377,10.462655067443848,46.7220344543457
4.579999923706055,9.168733596801758,47.9567756652832
4.590000152587891,7.874813079833984,49.56843566894531
4.599999904632568,6.71132755279541,49.620426177978516
4.610000133514404,5.756539344787598,49.7841911315918
4.619999885559082,4.94783878326416,50.769386291503906
4.630000114440918,4.133921146392822,52.70597839355469
4.639999866485596,3.163480281829834,52.303062438964844
4.650000095367432,2.3182578086853027,52.461631774902344
4.659999847412109,1.676514744758606,53.283058166503906
4.670000076293945,1.1078156232833862,54.07329177856445
4.679999828338623,0.2991150915622711,53.428627014160156
4.690000057220459,-0.42871537804603577,53.75096130371094
4.699999809265137,-1.276546597480774,53.834144592285156
4.710000038146973,-1.892202377319336,53.834144592285156
4.71999979019165,-2.3252484798431396,53.99790954589844
4.730000019073486,-3.1339492797851562,54.7231559753418
4.739999771118164,-3.9426496028900146,53.49881362915039
4.75,-4.751349925994873,52.83855438232422
4.760000228881836,-5.66961669921875,52.10810470581055
4.769999980926514,-6.68962287902832,51.229488372802734
4.78000020980835,-7.579193592071533,51.390655517578125
4.789999961853027,-8.014847755432129,51.09951400756836
4.800000190734863,-9.240942001342773,49.576236724853516
4.809999942779541,-10.417470932006836,48.0555534362793
4.820000171661377,-10.94443130493164,47.33030700683594
4.829999923706055,-11.267911911010742,46.60506057739258
4.840000152587891,-11.153128623962402,45.51588821411133
4.849999904632568,-11.200084686279297,44.80363464355469
4.860000133514404,-11.267911911010742,44.13297653198242
4.869999885559082,-11.239215850830078,43.197174072265625
4.880000114440918,-11.562695503234863,42.471923828125
4.889999866485596,-11.252259254455566,42.37834548950195
4.900000095367432,-11.492260932922363,41.39055252075195
4.909999847412109,-11.823567390441895,40.379364013671875
4.920000076293945,-11.58878231048584,40.381961822509766
4.929999828338623,-11.427042007446289,39.656715393066406
4.940000057220459,-11.875741004943848,39.2693977355957
4.949999809265137,-12.160090446472168,38.94706344604492
4.960000038146973,-12.267047882080078,38.520751953125
4.96999979019165,-12.428788185119629,37.850093841552734
4.980000019073486,-12.59052848815918,36.802513122558594
4.989999771118164,-12.687049865722656,35.81991958618164
5,-12.54617977142334,34.85292053222656
5.010000228881836,-12.26965618133545,33.67536926269531
5.019999980926514,-12.123568534851074,31.938932418823242
5.03000020980835,-12.447049140930176,28.87677574157715
5.039999961853027,-12.144438743591309,27.12474250793457
5.050000190734863,-11.90965461730957,25.380508422851562
5.059999942779541,-11.763566970825195,23.306142807006836
5.070000171661377,-11.197476387023926,21.29156494140625
5.079999923706055,-10.873995780944824,18.551740646362305
5.090000152587891,-10.550515174865723,16.64893913269043
5.099999904632568,-10.38355827331543,14.452398300170898
5.110000133514404,-10.310514450073242,11.777559280395508
5.119999885559082,-9.98703384399414,9.601816177368164
5.130000114440918,-9.898338317871094,7.815989971160889
5.139999866485596,-9.760076522827148,5.299717426300049
5.150000095367432,-9.561814308166504,2.7704477310180664
5.159999847412109,-9.31920337677002,0.3919462561607361
