Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
16.44499969482422,0.05729735642671585,-7.502620697021484,0.17180979251861572,-1.5915932655334473
16.450000762939453,0.05865776166319847,-7.6628499031066895,0.17196553945541382,-1.6210616827011108
16.454999923706055,0.06234367564320564,-7.829014301300049,0.1737964153289795,-1.6512073278427124
16.459999084472656,0.06792940944433212,-8.001112937927246,0.1737155318260193,-1.6825175285339355
16.46500015258789,0.07223262637853622,-8.181922912597656,0.17225775122642517,-1.7145086526870728
16.469999313354492,0.07557690143585205,-8.363354682922363,0.16987858712673187,-1.747660517692566
16.475000381469727,0.0780012309551239,-8.546026229858398,0.17031587660312653,-1.7808125019073486
16.479999542236328,0.0809079110622406,-8.730609893798828,0.16959692537784576,-1.8139643669128418
16.485000610351562,0.08218318223953247,-8.916421890258789,0.17107686400413513,-1.847116470336914
16.489999771118164,0.08501773327589035,-9.10486888885498,0.17259322106838226,-1.8809587955474854
16.4950008392334,0.08875155448913574,-9.292679786682129,0.1721319705247879,-1.916644811630249
16.5,0.08906075358390808,-9.478331565856934,0.16954326629638672,-1.9527862071990967
16.5049991607666,0.08950997143983841,-9.66528606414795,0.16937492787837982,-1.9877796173095703
16.510000228881836,0.08982177823781967,-9.847661972045898,0.1681767851114273,-2.022773265838623
16.514999389648438,0.09170175343751907,-10.032400131225586,0.16717122495174408,-2.057766914367676
16.520000457763672,0.09436876326799393,-10.216015815734863,0.16925913095474243,-2.0934627056121826
16.524999618530273,0.09815473854541779,-10.39985466003418,0.1717134416103363,-2.130298137664795
16.530000686645508,0.1031649187207222,-10.580954551696777,0.17161817848682404,-2.1664280891418457
16.53499984741211,0.10553915798664093,-10.760575294494629,0.1668519228696823,-2.2014217376708984
16.540000915527344,0.10660596191883087,-10.93795394897461,0.16339905560016632,-2.235706329345703
16.545000076293945,0.11207631230354309,-11.112468719482422,0.16236640512943268,-2.2695693969726562
16.549999237060547,0.1169857457280159,-11.28465461730957,0.16256389021873474,-2.304563045501709
16.55500030517578,0.12253931909799576,-11.454314231872559,0.1696479767560959,-2.3395566940307617
16.559999465942383,0.12676547467708588,-11.623482704162598,0.17325839400291443,-2.373833656311035
16.565000534057617,0.13032682240009308,-11.793556213378906,0.1763181835412979,-2.406266927719116
16.56999969482422,0.13621725142002106,-11.959606170654297,0.18058516085147858,-2.43757700920105
16.575000762939453,0.14100390672683716,-12.12535285949707,0.1841363161802292,-2.4688870906829834
