Time (s),Fᵧ (N),rᵧ (m)
13.524999618530273,-3.4184861183166504,0.2240244448184967
13.529999732971191,-3.420518636703491,0.2242642194032669
13.53499984741211,-3.422358989715576,0.22448664903640747
13.539999961853027,-3.425849437713623,0.22470909357070923
13.545000076293945,-3.427880048751831,0.2249315232038498
13.550000190734863,-3.429720878601074,0.22515398263931274
13.555000305175781,-3.4299097061157227,0.2253764271736145
13.5600004196167,-3.4299094676971436,0.22559888660907745
13.5649995803833,-3.4299097061157227,0.22582131624221802
13.569999694824219,-3.431562900543213,0.22600504755973816
13.574999809265137,-3.433403491973877,0.22617186605930328
13.579999923706055,-3.435244083404541,0.22629988193511963
13.585000038146973,-3.435429334640503,0.2264111042022705
13.59000015258789,-3.4370851516723633,0.2265223264694214
13.595000267028809,-3.435612678527832,0.22663353383541107
13.600000381469727,-3.437086343765259,0.22670571506023407
13.604999542236328,-3.438926935195923,0.2267613410949707
13.609999656677246,-3.440767526626587,0.22681695222854614
13.614999771118164,-3.4392900466918945,0.2268725484609604
13.619999885559082,-3.4374492168426514,0.22688889503479004
13.625,-3.4356088638305664,0.22688889503479004
13.630000114440918,-3.4337680339813232,0.2268495112657547
13.635000228881836,-3.4319279193878174,0.22679388523101807
13.640000343322754,-3.4317493438720703,0.22669877111911774
13.645000457763672,-3.430086851119995,0.22658754885196686
13.649999618530273,-3.4265828132629395,0.22647632658481598
13.654999732971191,-3.4245657920837402,0.2263651192188263
13.65999984741211,-3.4243898391723633,0.2262141853570938
13.664999961853027,-3.422724485397339,0.2260473668575287
13.670000076293945,-3.420884132385254,0.22588053345680237
13.675000190734863,-3.41904354095459,0.22571371495723724
13.680000305175781,-3.4155361652374268,0.22554688155651093
13.6850004196167,-3.4118552207946777,0.2253800481557846
13.6899995803833,-3.4081742763519287,0.22517316043376923
13.694999694824219,-3.4061622619628906,0.22495071589946747
13.699999809265137,-3.4026525020599365,0.2246881127357483
13.704999923706055,-3.3989713191986084,0.2244100719690323
13.710000038146973,-3.396960973739624,0.22417227923870087
13.71500015258789,-3.393449306488037,0.22394981980323792
13.720000267028809,-3.389768362045288,0.22368700802326202
13.725000381469727,-3.3877594470977783,0.22340895235538483
13.729999542236328,-3.3842458724975586,0.2231713980436325
13.734999656677246,-3.3805646896362305,0.22294895350933075
13.739999771118164,-3.3768837451934814,0.22268591821193695
13.744999885559082,-3.3732025623321533,0.22240786254405975
13.75,-3.3695218563079834,0.22217050194740295
13.755000114440918,-3.3658409118652344,0.2219480723142624
13.760000228881836,-3.3638365268707275,0.22172562777996063
13.765000343322754,-3.360318899154663,0.22150318324565887
13.770000457763672,-3.3583157062530518,0.2212398201227188
13.774999618530273,-3.356475353240967,0.2209617644548416
13.779999732971191,-3.354635000228882,0.22072474658489227
13.78499984741211,-3.3527944087982178,0.2205023169517517
13.789999961853027,-3.350954055786133,0.22032101452350616
13.795000076293945,-3.3491134643554688,0.22015416622161865
13.800000190734863,-3.3455915451049805,0.21994607150554657
13.805000305175781,-3.343592643737793,0.2197236269712448
13.8100004196167,-3.341752052307129,0.21954256296157837
13.8149995803833,-3.3382279872894287,0.21937574446201324
13.819999694824219,-3.336230993270874,0.21920892596244812
13.824999809265137,-3.334390640258789,0.2190420925617218
13.829999923706055,-3.332549810409546,0.21887525916099548
13.835000038146973,-3.329023599624634,0.21870842576026917
13.84000015258789,-3.3236560821533203,0.21854159235954285
13.845000267028809,-3.3215084075927734,0.21837475895881653
13.850000381469727,-3.3162927627563477,0.2182079255580902
13.854999542236328,-3.3124594688415527,0.2180410772562027
13.859999656677246,-3.3087782859802246,0.21787424385547638
13.864999771118164,-3.3067867755889893,0.21770741045475006
13.869999885559082,-3.3032562732696533,0.21754057705402374
13.875,-3.299575090408325,0.21737374365329742
13.880000114440918,-3.2975854873657227,0.2172068953514099
13.885000228881836,-3.2974367141723633,0.2170400619506836
13.890000343322754,-3.2957441806793213,0.21687322854995728
13.895000457763672,-3.2939040660858154,0.21670639514923096
13.899999618530273,-3.2920634746551514,0.21653957664966583
13.904999732971191,-3.2902233600616455,0.21637274324893951
13.90999984741211,-3.2866878509521484,0.21616344153881073
13.914999961853027,-3.2847025394439697,0.21594099700450897
13.920000076293945,-3.281165838241577,0.2157185673713684
13.925000190734863,-3.277484655380249,0.21549613773822784
13.930000305175781,-3.272106170654297,0.2152736932039261
13.9350004196167,-3.268282651901245,0.21505124866962433
13.9399995803833,-3.264601707458496,0.21478600800037384
13.944999694824219,-3.260920524597168,0.21450795233249664
13.949999809265137,-3.255539894104004,0.21422989666461945
13.954999923706055,-3.25001859664917,0.21395184099674225
13.960000038146973,-3.244497299194336,0.21363075077533722
13.96500015258789,-3.2406773567199707,0.21329708397388458
13.970000267028809,-3.2352941036224365,0.21292027831077576
13.975000381469727,-3.2297725677490234,0.21253101527690887
13.979999542236328,-3.2225475311279297,0.2121417373418808
13.984999656677246,-3.2168893814086914,0.21175244450569153
13.989999771118164,-3.209663152694702,0.21131981909275055
13.994999885559082,-3.2040066719055176,0.21087494492530823
14,-3.196779251098633,0.2104300558567047
14.005000114440918,-3.1894173622131348,0.20998515188694
