Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
8.444999694824219,-1.376916527748108,-0.024588588625192642,-0.3567567467689514,1.4835608005523682
8.449999809265137,-1.3553470373153687,-0.02637237124145031,-0.3567567467689514,1.6264129877090454
8.454999923706055,-1.3332459926605225,-0.028076952323317528,-0.3488095700740814,1.7511425018310547
8.460000038146973,-1.3137727975845337,-0.029749250039458275,-0.33762326836586,1.8684853315353394
8.46500015258789,-1.295355200767517,-0.03134159371256828,-0.32643693685531616,1.9785103797912598
8.470000267028809,-1.2782553434371948,-0.03290240466594696,-0.3152506351470947,2.0856494903564453
8.475000381469727,-1.2616795301437378,-0.03438250720500946,-0.3040643334388733,2.196481943130493
8.479999542236328,-1.2451037168502808,-0.03583183139562607,-0.29287803173065186,2.308722972869873
8.484999656677246,-1.2298511266708374,-0.037199702113866806,-0.2816917300224304,2.417236566543579
8.489999771118164,-1.2151172161102295,-0.038537539541721344,-0.2705053985118866,2.5243756771087646
8.494999885559082,-1.203037142753601,-0.039752066135406494,-0.25519484281539917,2.623991012573242
8.5,-1.1919865608215332,-0.04092267155647278,-0.23841536045074463,2.720926284790039
8.505000114440918,-1.1809358596801758,-0.04201032221317291,-0.22579781711101532,2.7647130489349365
8.510000228881836,-1.1698853969573975,-0.043069448322057724,-0.21461151540279388,2.790222406387329
8.515000343322754,-1.160169243812561,-0.04400300607085228,-0.19922563433647156,2.8195624351501465
8.520000457763672,-1.1496243476867676,-0.04489489644765854,-0.18244615197181702,2.8501737117767334
8.524999618530273,-1.1412501335144043,-0.045660100877285004,-0.16566668450832367,2.9001100063323975
8.529999732971191,-1.133882999420166,-0.04638476297259331,-0.14888720214366913,2.956230640411377
8.53499984741211,-1.1291998624801636,-0.04698161035776138,-0.13210773468017578,2.9850549697875977
8.539999961853027,-1.1255162954330444,-0.04753904044628143,-0.11532825231552124,3.005462408065796
8.545000076293945,-1.1218327283859253,-0.04801051318645477,-0.10286135226488113,3.0180022716522217
8.550000190734863,-1.1194968223571777,-0.04845646023750305,-0.0916750505566597,3.0282061100006104
8.555000305175781,-1.1190043687820435,-0.04881569370627403,-0.08048873394727707,3.0304737091064453
8.5600004196167,-1.1190043687820435,-0.04915015026926994,-0.06930240988731384,3.0304737091064453
